,week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10
818,2022-05-08,Films (Non-English),9,Thar,,3610000,1
819,2022-05-08,Films (Non-English),10,Brother in Love 2,,2050000,1
840,2022-05-01,Films (English),1,365 Days: This Day,,77980000,1
841,2022-05-01,Films (English),2,Silverton Siege,,20280000,1
842,2022-05-01,Films (English),3,The Mystery of Marilyn Monroe: The Unheard Tapes,,15360000,1
843,2022-05-01,Films (English),4,365 Days,,10040000,1
844,2022-05-01,Films (English),5,The Vault,,6660000,3
845,2022-05-01,Films (English),6,How It Ends,,6640000,4
846,2022-05-01,Films (English),7,The In Between,,6050000,4
847,2022-05-01,Films (English),8,The Adam Project,,5660000,8
848,2022-05-01,Films (English),9,Sonic the Hedgehog,,4920000,1
849,2022-05-01,Films (English),10,Shrek,,4540000,7
850,2022-05-01,Films (Non-English),1,Gangubai Kathiawadi,,13810000,1
851,2022-05-01,Films (Non-English),2,Honeymoon with My Mother,,10630000,1
852,2022-05-01,Films (Non-English),3,Bubble,,4450000,1
853,2022-05-01,Films (Non-English),4,The Turning Point,,3060000,2
854,2022-05-01,Films (Non-English),5,Furioza,,2620000,4
855,2022-05-01,Films (Non-English),6,Yaksha: Ruthless Operations,,2520000,4
856,2022-05-01,Films (Non-English),7,The Taming of the Shrewd,,2400000,3
857,2022-05-01,Films (Non-English),8,Through My Window,,1990000,12
858,2022-05-01,Films (Non-English),9,I Swear It Wasn't Me,,1620000,1
859,2022-05-01,Films (Non-English),10,A Hard Day,,1260000,1
880,2022-04-24,Films (English),1,Choose or Die,,15260000,2
881,2022-04-24,Films (English),2,The In Between,,13350000,3
882,2022-04-24,Films (English),3,White Hot: The Rise & Fall of Abercrombie & Fitch,,9920000,1
883,2022-04-24,Films (English),4,How It Ends,,8280000,3
884,2022-04-24,Films (English),5,Yakuza Princess,,7490000,1
885,2022-04-24,Films (English),6,The Adam Project,,7480000,7
886,2022-04-24,Films (English),7,Playing with Fire,,6750000,1
887,2022-04-24,Films (English),8,The Vault,,6620000,2
888,2022-04-24,Films (English),9,Shrek,,5310000,6
889,2022-04-24,Films (English),10,Cleaner,,4920000,2
890,2022-04-24,Films (Non-English),1,The Taming of the Shrewd,,9330000,2
891,2022-04-24,Films (Non-English),2,Furioza,,6150000,3
892,2022-04-24,Films (Non-English),3,Yaksha: Ruthless Operations,,5080000,3
893,2022-04-24,Films (Non-English),4,The Turning Point,,2810000,1
894,2022-04-24,Films (Non-English),5,One Piece Film Z,,2220000,1
895,2022-04-24,Films (Non-English),6,Through My Window,,2200000,11
896,2022-04-24,Films (Non-English),7,All Hail,,1920000,4
897,2022-04-24,Films (Non-English),8,Black Crab,,1830000,6
898,2022-04-24,Films (Non-English),9,In Good Hands,,1700000,5
899,2022-04-24,Films (Non-English),10,Dasvi,,1620000,3
920,2022-04-17,Films (English),1,The In Between,,35900000,2
921,2022-04-17,Films (English),2,Choose or Die,,16000000,1
922,2022-04-17,Films (English),3,A Score to Settle,,9750000,1
923,2022-04-17,Films (English),4,The Adam Project,,9270000,6
924,2022-04-17,Films (English),5,Metal Lords,,8740000,1
925,2022-04-17,Films (English),6,How It Ends,,8600000,2
926,2022-04-17,Films (English),7,The Call,,7710000,1
927,2022-04-17,Films (English),8,Return to Space,,7150000,2
928,2022-04-17,Films (English),9,Cleaner,,6770000,1
929,2022-04-17,Films (English),10,A Dog's Way Home,,5750000,1
930,2022-04-17,Films (Non-English),1,Furioza,,17800000,2
931,2022-04-17,Films (Non-English),2,The Taming of the Shrewd,,17020000,1
932,2022-04-17,Films (Non-English),3,Yaksha: Ruthless Operations,,16380000,2
933,2022-04-17,Films (Non-English),4,Dancing on Glass,,5230000,1
934,2022-04-17,Films (Non-English),5,All Hail,,4320000,3
935,2022-04-17,Films (Non-English),6,Dasvi,,4020000,2
936,2022-04-17,Films (Non-English),7,Black Crab,,3040000,5
937,2022-04-17,Films (Non-English),8,In Good Hands,,2550000,4
938,2022-04-17,Films (Non-English),9,Fack ju Göhte 3,,2400000,1
939,2022-04-17,Films (Non-English),10,Through My Window,,2280000,10
960,2022-04-10,Films (English),1,The In Between,,26770000,1
961,2022-04-10,Films (English),2,The Adam Project,,10900000,5
962,2022-04-10,Films (English),3,The Bubble,,9950000,2
963,2022-04-10,Films (English),4,Shrek Forever After,,9770000,2
964,2022-04-10,Films (English),5,The Blind Side,,8710000,2
965,2022-04-10,Films (English),6,Four Brothers,,8170000,1
966,2022-04-10,Films (English),7,Enough,,5790000,1
967,2022-04-10,Films (English),8,How It Ends,,5650000,1
968,2022-04-10,Films (English),9,Shrek,,5340000,5
969,2022-04-10,Films (English),10,Return to Space,,4550000,1
970,2022-04-10,Films (Non-English),1,Furioza,,23960000,1
971,2022-04-10,Films (Non-English),2,All Hail,,13300000,2
972,2022-04-10,Films (Non-English),3,Yaksha: Ruthless Operations,,12540000,1
973,2022-04-10,Films (Non-English),4,Dasvi,,5690000,1
974,2022-04-10,Films (Non-English),5,Black Crab,,4660000,4
975,2022-04-10,Films (Non-English),6,Captain Nova,,4610000,2
976,2022-04-10,Films (Non-English),7,Enforcement,,4020000,1
977,2022-04-10,Films (Non-English),8,In Good Hands,,4010000,3
978,2022-04-10,Films (Non-English),9,Retfærdighedens ryttere,,3710000,1
979,2022-04-10,Films (Non-English),10,Ya veremos,,3580000,2
1000,2022-04-03,Films (English),1,The Adam Project,,17720000,4
1001,2022-04-03,Films (English),2,The Bubble,,12450000,1
1002,2022-04-03,Films (English),3,Trust No One: The Hunt for the Crypto King,,12070000,1
1003,2022-04-03,Films (English),4,The Blind Side,,9880000,1
1004,2022-04-03,Films (English),5,6 Underground,,8730000,3
1005,2022-04-03,Films (English),6,Blade Runner 2049,,7850000,1
1006,2022-04-03,Films (English),7,Shrek Forever After,,7690000,1
1007,2022-04-03,Films (English),8,Gemini Man,,7000000,3
1008,2022-04-03,Films (English),9,Rescued by Ruby,,6380000,3
1009,2022-04-03,Films (English),10,Escape Room,,6140000,1
1010,2022-04-03,Films (Non-English),1,All Hail,,24280000,1
1011,2022-04-03,Films (Non-English),2,Black Crab,,11270000,3
1012,2022-04-03,Films (Non-English),3,In Good Hands,,10810000,2
1013,2022-04-03,Films (Non-English),4,Ya veremos,,3850000,1
1014,2022-04-03,Films (Non-English),5,Without Saying Goodbye,,3500000,3
1015,2022-04-03,Films (Non-English),6,Battle: Freestyle,,3440000,1
1016,2022-04-03,Films (Non-English),7,Captain Nova,,3290000,1
1017,2022-04-03,Films (Non-English),8,'83,,3120000,2
1018,2022-04-03,Films (Non-English),9,Forever Out of My League,,2770000,1
1019,2022-04-03,Films (Non-English),10,Through My Window,,2410000,9
1040,2022-03-27,Films (English),1,The Adam Project,,31700000,3
1041,2022-03-27,Films (English),2,Rescued by Ruby,,17030000,2
1042,2022-03-27,Films (English),3,Gemini Man,,16450000,2
1043,2022-03-27,Films (English),4,Windfall,,15490000,2
1044,2022-03-27,Films (English),5,John Wick: Chapter 2,,7800000,1
1045,2022-03-27,Films (English),6,The Dead Don't Die,,7570000,1
1046,2022-03-27,Films (English),7,6 Underground,,7440000,2
1047,2022-03-27,Films (English),8,A Walk Among the Tombstones,,6740000,2
1048,2022-03-27,Films (English),9,Shrek,,6350000,4
1049,2022-03-27,Films (English),10,Despicable Me 2,,5750000,7
1050,2022-03-27,Films (Non-English),1,Black Crab,,40510000,2
1051,2022-03-27,Films (Non-English),2,In Good Hands,,28930000,1
1052,2022-03-27,Films (Non-English),3,Without Saying Goodbye,,13850000,2
1053,2022-03-27,Films (Non-English),4,'83,,10530000,1
1054,2022-03-27,Films (Non-English),5,The Bombardment,,3170000,3
1055,2022-03-27,Films (Non-English),6,Restless,,3030000,5
1056,2022-03-27,Films (Non-English),7,Through My Window,,2520000,8
1057,2022-03-27,Films (Non-English),8,Today We Fix the World,,2270000,2
1058,2022-03-27,Films (Non-English),9,The Pirates: The Last Royal Treasure,,2260000,4
1059,2022-03-27,Films (Non-English),10,Love Like the Falling Petals,,2210000,1
1080,2022-03-20,Films (English),1,The Adam Project,,85360000,2
1081,2022-03-20,Films (English),2,Rescued by Ruby,,19940000,1
1082,2022-03-20,Films (English),3,Gemini Man,,11840000,1
1083,2022-03-20,Films (English),4,The Ice Road,,11650000,2
1084,2022-03-20,Films (English),5,The Weekend Away,,9240000,3
1085,2022-03-20,Films (English),6,A Walk Among the Tombstones,,9030000,1
1086,2022-03-20,Films (English),7,Windfall,,8360000,1
1087,2022-03-20,Films (English),8,Shrek,,7870000,3
1088,2022-03-20,Films (English),9,Shrek 2,,6750000,3
1089,2022-03-20,Films (English),10,A Madea Homecoming,,5790000,4
1090,2022-03-20,Films (Non-English),1,Black Crab,,35920000,1
1091,2022-03-20,Films (Non-English),2,Without Saying Goodbye,,12930000,1
1092,2022-03-20,Films (Non-English),3,The Bombardment,,10500000,2
1093,2022-03-20,Films (Non-English),4,Badhaai Do,,6130000,2
1094,2022-03-20,Films (Non-English),5,Restless,,4560000,4
1095,2022-03-20,Films (Non-English),6,Chernobyl 1986,,4490000,5
1096,2022-03-20,Films (Non-English),7,The Pirates: The Last Royal Treasure,,4390000,3
1097,2022-03-20,Films (Non-English),8,One Piece Film: Strong World,,3490000,1
1098,2022-03-20,Films (Non-English),9,Through My Window,,3050000,7
1099,2022-03-20,Films (Non-English),10,Today We Fix the World,,2640000,1
1120,2022-03-13,Films (English),1,The Adam Project,,92430000,1
1121,2022-03-13,Films (English),2,The Weekend Away,,26260000,2
1122,2022-03-13,Films (English),3,Against The Ice,,12730000,2
1123,2022-03-13,Films (English),4,Shrek,,10380000,2
1124,2022-03-13,Films (English),5,Shrek 2,,9900000,2
1125,2022-03-13,Films (English),6,A Madea Homecoming,,9030000,3
1126,2022-03-13,Films (English),7,Shooter,,7390000,1
1127,2022-03-13,Films (English),8,Spider-Man: Into the Spider-Verse,,5910000,2
1128,2022-03-13,Films (English),9,Despicable Me 2,,5720000,6
1129,2022-03-13,Films (English),10,Coach Carter,,5450000,1
1130,2022-03-13,Films (Non-English),1,The Bombardment,,19290000,1
1131,2022-03-13,Films (Non-English),2,The Pirates: The Last Royal Treasure,,12230000,2
1132,2022-03-13,Films (Non-English),3,Restless,,6990000,3
1133,2022-03-13,Films (Non-English),4,Badhaai Do,,5640000,1
1134,2022-03-13,Films (Non-English),5,Chernobyl 1986,,5330000,4
1135,2022-03-13,Films (Non-English),6,Meskina,,4190000,2
1136,2022-03-13,Films (Non-English),7,Through My Window,,3580000,6
1137,2022-03-13,Films (Non-English),8,The Invisible Thread,,3140000,1
1138,2022-03-13,Films (Non-English),9,Love Tactics,,2620000,5
1139,2022-03-13,Films (Non-English),10,Black Beach,,1600000,1
1160,2022-03-06,Films (English),1,The Weekend Away,,44450000,1
1161,2022-03-06,Films (English),2,Against The Ice,,30730000,1
1162,2022-03-06,Films (English),3,A Madea Homecoming,,26410000,2
1163,2022-03-06,Films (English),4,Spider-Man: Into the Spider-Verse,,13940000,1
1164,2022-03-06,Films (English),5,Shrek 2,,13040000,1
1165,2022-03-06,Films (English),6,The Tinder Swindler,,9510000,5
1166,2022-03-06,Films (English),7,Shrek,,7780000,1
1167,2022-03-06,Films (English),8,Just Like Heaven,,7160000,1
1168,2022-03-06,Films (English),9,Despicable Me 2,,6890000,5
1169,2022-03-06,Films (English),10,Battleship,,6710000,1
1170,2022-03-06,Films (Non-English),1,Restless,,26030000,2
1171,2022-03-06,Films (Non-English),2,The Pirates: The Last Royal Treasure,,17710000,1
1172,2022-03-06,Films (Non-English),3,Chernobyl 1986,,7730000,3
1173,2022-03-06,Films (Non-English),4,Through My Window,,5510000,5
1174,2022-03-06,Films (Non-English),5,Love Tactics,,3660000,4
1175,2022-03-06,Films (Non-English),6,Meskina,,2940000,1
1176,2022-03-06,Films (Non-English),7,A Woman With No Filter,,2860000,2
1177,2022-03-06,Films (Non-English),8,My Wonderful Life,,2500000,1
1178,2022-03-06,Films (Non-English),9,UFO,,2440000,2
1179,2022-03-06,Films (Non-English),10,Valentina's Wedding,,2420000,1
1200,2022-02-27,Films (English),1,A Madea Homecoming,,31560000,1
1201,2022-02-27,Films (English),2,The Tinder Swindler,,17670000,4
1202,2022-02-27,Films (English),3,Texas Chainsaw Massacre,,17440000,2
1203,2022-02-27,Films (English),4,Downfall: The Case Against Boeing,,9910000,2
1204,2022-02-27,Films (English),5,Despicable Me 2,,9750000,4
1205,2022-02-27,Films (English),6,Fistful of Vengeance,,7560000,2
1206,2022-02-27,Films (English),7,Tall Girl 2,,7470000,3
1207,2022-02-27,Films (English),8,Abominable,,7330000,2
1208,2022-02-27,Films (English),9,Despicable Me,,5590000,4
1209,2022-02-27,Films (English),10,Red Notice,,4970000,13
1210,2022-02-27,Films (Non-English),1,Restless,,19810000,1
1211,2022-02-27,Films (Non-English),2,Don't Kill Me,,12090000,1
1212,2022-02-27,Films (Non-English),3,Through My Window,,7760000,4
1213,2022-02-27,Films (Non-English),4,Love Tactics,,5620000,3
1214,2022-02-27,Films (Non-English),5,Parallel Mothers,,4820000,2
1215,2022-02-27,Films (Non-English),6,UFO,,4270000,1
1216,2022-02-27,Films (Non-English),7,A Woman With No Filter,,3850000,1
1217,2022-02-27,Films (Non-English),8,Todos queremos a alguien,,3670000,1
1218,2022-02-27,Films (Non-English),9,Compadres,,3310000,1
1219,2022-02-27,Films (Non-English),10,Lost Paradise,,3310000,1
1240,2022-02-20,Films (English),1,The Tinder Swindler,,34450000,3
1241,2022-02-20,Films (English),2,Texas Chainsaw Massacre,,29180000,1
1242,2022-02-20,Films (English),3,Tall Girl 2,,21740000,2
1243,2022-02-20,Films (English),4,Fistful of Vengeance,,18300000,1
1244,2022-02-20,Films (English),5,Despicable Me 2,,11510000,3
1245,2022-02-20,Films (English),6,Abominable,,8960000,1
1246,2022-02-20,Films (English),7,St. Vincent,,7640000,1
1247,2022-02-20,Films (English),8,Downfall: The Case Against Boeing,,7420000,1
1248,2022-02-20,Films (English),9,Despicable Me,,7170000,3
1249,2022-02-20,Films (English),10,The Vanishing,,7030000,1
1250,2022-02-20,Films (Non-English),1,Love Tactics,,16860000,2
1251,2022-02-20,Films (Non-English),2,Through My Window,,13300000,3
1252,2022-02-20,Films (Non-English),3,Bigbug,,8110000,2
1253,2022-02-20,Films (Non-English),4,Love and Leashes,,7420000,2
1254,2022-02-20,Films (Non-English),5,The Privilege,,6760000,2
1255,2022-02-20,Films (Non-English),6,Parallel Mothers,,6510000,1
1256,2022-02-20,Films (Non-English),7,Into the Wind,,4890000,2
1257,2022-02-20,Films (Non-English),8,Parallel Roads,,2710000,1
1258,2022-02-20,Films (Non-English),9,My Best Friend Anne Frank,,2510000,3
1259,2022-02-20,Films (Non-English),10,Thoroughbred,,2190000,1
1280,2022-02-13,Films (English),1,The Tinder Swindler,,64700000,2
1281,2022-02-13,Films (English),2,Tall Girl 2,,27440000,1
1282,2022-02-13,Films (English),3,13 Hours: The Secret Soldiers of Benghazi,,13270000,2
1283,2022-02-13,Films (English),4,Despicable Me 2,,13080000,2
1284,2022-02-13,Films (English),5,Home Team,,10550000,3
1285,2022-02-13,Films (English),6,Despicable Me,,8950000,2
1286,2022-02-13,Films (English),7,Dora and the Lost City of Gold,,8750000,1
1287,2022-02-13,Films (English),8,Faster,,6850000,2
1288,2022-02-13,Films (English),9,The Power of the Dog,,5460000,3
1289,2022-02-13,Films (English),10,Don't Look Up,,5360000,8
1290,2022-02-13,Films (Non-English),1,Through My Window,,34700000,2
1291,2022-02-13,Films (Non-English),2,The Privilege,,18060000,1
1292,2022-02-13,Films (Non-English),3,Into the Wind,,10710000,1
1293,2022-02-13,Films (Non-English),4,Love Tactics,,8960000,1
1294,2022-02-13,Films (Non-English),5,Love and Leashes,,6680000,1
1295,2022-02-13,Films (Non-English),6,My Best Friend Anne Frank,,5680000,2
1296,2022-02-13,Films (Non-English),7,Bigbug,,4400000,1
1297,2022-02-13,Films (Non-English),8,Child of Kamiari Month,,2660000,1
1298,2022-02-13,Films (Non-English),9,Looop Lapeta,,2440000,2
1299,2022-02-13,Films (Non-English),10,Luccas Neto in: The Magical Hotel 2,,2060000,1
1320,2022-02-06,Films (English),1,The Tinder Swindler,,45800000,1
1321,2022-02-06,Films (English),2,Home Team,,33630000,2
1322,2022-02-06,Films (English),3,Despicable Me 2,,14340000,1
1323,2022-02-06,Films (English),4,13 Hours: The Secret Soldiers of Benghazi,,12980000,1
1324,2022-02-06,Films (English),5,Transformers: Revenge of the Fallen,,9790000,1
1325,2022-02-06,Films (English),6,The Royal Treatment,,8510000,3
1326,2022-02-06,Films (English),7,Don't Look Up,,6930000,7
1327,2022-02-06,Films (English),8,Despicable Me,,6850000,1
1328,2022-02-06,Films (English),9,Can You Keep a Secret?,,6410000,1
1329,2022-02-06,Films (English),10,Faster,,6370000,1
1330,2022-02-06,Films (Non-English),1,Through My Window,,33250000,1
1331,2022-02-06,Films (Non-English),2,My Best Friend Anne Frank,,18720000,1
1332,2022-02-06,Films (Non-English),3,My Father's Violin,,4840000,3
1333,2022-02-06,Films (Non-English),4,Looop Lapeta,,2460000,1
1334,2022-02-06,Films (Non-English),5,Lost Bullet,,1570000,3
1335,2022-02-06,Films (Non-English),6,أصحاب ...ولا أعزّ,,1370000,3
1336,2022-02-06,Films (Non-English),7,Amandla,,1370000,3
1337,2022-02-06,Films (Non-English),8,How I Fell in Love with a Gangster,,1270000,5
1338,2022-02-06,Films (Non-English),9,Fierce,,1250000,2
1339,2022-02-06,Films (Non-English),10,The Medium,,1180000,1
1360,2022-01-30,Films (English),1,The Royal Treatment,,26580000,2
1361,2022-01-30,Films (English),2,Home Team,,21050000,1
1362,2022-01-30,Films (English),3,Munich – The Edge of War,,17320000,2
1363,2022-01-30,Films (English),4,Don't Look Up,,10250000,6
1364,2022-01-30,Films (English),5,The Secret Life of Pets 2,,7850000,3
1365,2022-01-30,Films (English),6,Red Notice,,6540000,12
1366,2022-01-30,Films (English),7,Hotel Transylvania 3: Summer Vacation,,6280000,5
1367,2022-01-30,Films (English),8,Brazen,,5840000,3
1368,2022-01-30,Films (English),9,The Possession of Hannah Grace,,5760000,1
1369,2022-01-30,Films (English),10,A Perfect Enemy,,4870000,1
1370,2022-01-30,Films (Non-English),1,My Father's Violin,,12380000,2
1371,2022-01-30,Films (Non-English),2,Amandla,,7990000,2
1372,2022-01-30,Films (Non-English),3,أصحاب ...ولا أعزّ,,4690000,2
1373,2022-01-30,Films (Non-English),4,Shyam Singha Roy,,2880000,2
1374,2022-01-30,Films (Non-English),5,Lost Bullet,,2630000,2
1375,2022-01-30,Films (Non-English),6,How I Fell in Love with a Gangster,,2610000,4
1376,2022-01-30,Films (Non-English),7,Photocopier,,1740000,3
1377,2022-01-30,Films (Non-English),8,Blood Red Sky,,1690000,11
1378,2022-01-30,Films (Non-English),9,Rogue City,,1400000,2
1379,2022-01-30,Films (Non-English),10,Vicky and Her Mystery,,1400000,6
1400,2022-01-23,Films (English),1,The Royal Treatment,,42490000,1
1401,2022-01-23,Films (English),2,Brazen,,28570000,2
1402,2022-01-23,Films (English),3,Don't Look Up,,17130000,5
1403,2022-01-23,Films (English),4,The Secret Life of Pets 2,,16800000,2
1404,2022-01-23,Films (English),5,Riverdance: The Animated Adventure,,11840000,2
1405,2022-01-23,Films (English),6,Munich – The Edge of War,,11110000,1
1406,2022-01-23,Films (English),7,After We Fell,,8980000,1
1407,2022-01-23,Films (English),8,Red Notice,,7310000,11
1408,2022-01-23,Films (English),9,Back to the Outback,,6320000,7
1409,2022-01-23,Films (English),10,Mother/Android,,5330000,3
1410,2022-01-23,Films (Non-English),1,How I Fell in Love with a Gangster,,8690000,3
1411,2022-01-23,Films (Non-English),2,Photocopier,,6920000,2
1412,2022-01-23,Films (Non-English),3,Shyam Singha Roy,,3590000,1
1413,2022-01-23,Films (Non-English),4,My Father's Violin,,3170000,1
1414,2022-01-23,Films (Non-English),5,أصحاب ...ولا أعزّ,,2670000,1
1415,2022-01-23,Films (Non-English),6,Rogue City,,2450000,1
1416,2022-01-23,Films (Non-English),7,Amandla,,2380000,1
1417,2022-01-23,Films (Non-English),8,Lost Bullet,,2050000,1
1418,2022-01-23,Films (Non-English),9,Blood Red Sky,,1870000,10
1419,2022-01-23,Films (Non-English),10,Vicky and Her Mystery,,1780000,5
1440,2022-01-16,Films (English),1,Brazen,,45340000,1
1441,2022-01-16,Films (English),2,Don't Look Up,,28390000,4
1442,2022-01-16,Films (English),3,Mother/Android,,23170000,2
1443,2022-01-16,Films (English),4,The Secret Life of Pets 2,,9390000,1
1444,2022-01-16,Films (English),5,Just Go With It,,8790000,3
1445,2022-01-16,Films (English),6,Red Notice,,8710000,10
1446,2022-01-16,Films (English),7,Back to the Outback,,8710000,6
1447,2022-01-16,Films (English),8,Tides,,8470000,1
1448,2022-01-16,Films (English),9,Riverdance: The Animated Adventure,,7860000,1
1449,2022-01-16,Films (English),10,The Clovehitch Killer,,7000000,1
1450,2022-01-16,Films (Non-English),1,How I Fell in Love with a Gangster,,11510000,2
1451,2022-01-16,Films (Non-English),2,Four to Dinner,,4750000,2
1452,2022-01-16,Films (Non-English),3,The Wasteland,,4640000,2
1453,2022-01-16,Films (Non-English),4,Chandigarh Kare Aashiqui,,4610000,2
1454,2022-01-16,Films (Non-English),5,Photocopier,,4440000,1
1455,2022-01-16,Films (Non-English),6,Major Grom: Plague Doctor,,3120000,6
1456,2022-01-16,Films (Non-English),7,Minnal Murali,,2510000,4
1457,2022-01-16,Films (Non-English),8,Vicky and Her Mystery,,2070000,4
1458,2022-01-16,Films (Non-English),9,Lulli,,2000000,3
1459,2022-01-16,Films (Non-English),10,Sin Nombre,,1830000,2
1480,2022-01-09,Films (English),1,Don't Look Up,,58200000,3
1481,2022-01-09,Films (English),2,Mother/Android,,29730000,1
1482,2022-01-09,Films (English),3,The Lost Daughter,,20370000,2
1483,2022-01-09,Films (English),4,Back to the Outback,,12430000,5
1484,2022-01-09,Films (English),5,The Unforgivable,,11340000,5
1485,2022-01-09,Films (English),6,Red Notice,,11090000,9
1486,2022-01-09,Films (English),7,Just Go With It,,10530000,2
1487,2022-01-09,Films (English),8,Journey 2: The Mysterious Island,,10520000,2
1488,2022-01-09,Films (English),9,Seal Team,,10310000,1
1489,2022-01-09,Films (English),10,The Longest Yard,,9960000,1
1490,2022-01-09,Films (Non-English),1,The Wasteland,,11930000,1
1491,2022-01-09,Films (Non-English),2,Four to Dinner,,7440000,1
1492,2022-01-09,Films (Non-English),3,How I Fell in Love with a Gangster,,6150000,1
1493,2022-01-09,Films (Non-English),4,Chandigarh Kare Aashiqui,,5300000,1
1494,2022-01-09,Films (Non-English),5,Minnal Murali,,5080000,3
1495,2022-01-09,Films (Non-English),6,Lulli,,4020000,2
1496,2022-01-09,Films (Non-English),7,Vicky and Her Mystery,,3830000,3
1497,2022-01-09,Films (Non-English),8,Major Grom: Plague Doctor,,2830000,5
1498,2022-01-09,Films (Non-English),9,STAND BY ME Doraemon 2,,2410000,3
1499,2022-01-09,Films (Non-English),10,Sin Nombre,,2300000,1
1520,2022-01-02,Films (English),1,Don't Look Up,,152290000,2
1521,2022-01-02,Films (English),2,The Unforgivable,,21310000,4
1522,2022-01-02,Films (English),3,The Lost Daughter,,18260000,1
1523,2022-01-02,Films (English),4,Back to the Outback,,17720000,4
1524,2022-01-02,Films (English),5,Red Notice,,14540000,8
1525,2022-01-02,Films (English),6,Spider-Man: Homecoming,,14180000,3
1526,2022-01-02,Films (English),7,Fast & Furious Presents: Hobbs & Shaw,,12870000,2
1527,2022-01-02,Films (English),8,Death to 2021,,10380000,1
1528,2022-01-02,Films (English),9,Journey 2: The Mysterious Island,,5440000,1
1529,2022-01-02,Films (English),10,Spider-Man,,5430000,1
1530,2022-01-02,Films (Non-English),1,Lulli,,15210000,1
1531,2022-01-02,Films (Non-English),2,Vicky and Her Mystery,,15160000,2
1532,2022-01-02,Films (Non-English),3,Minnal Murali,,11440000,2
1533,2022-01-02,Films (Non-English),4,STAND BY ME Doraemon 2,,6730000,2
1534,2022-01-02,Films (Non-English),5,1000 Miles from Christmas,,6650000,2
1535,2022-01-02,Films (Non-English),6,Intervenção,,3650000,1
1536,2022-01-02,Films (Non-English),7,The Whole Truth,,2780000,5
1537,2022-01-02,Films (Non-English),8,Anonymously Yours,,2060000,4
1538,2022-01-02,Films (Non-English),9,The Hand of God,,2000000,3
1539,2022-01-02,Films (Non-English),10,Sooryavanshi,,1970000,5
1560,2021-12-26,Films (English),1,Don't Look Up,,111030000,1
1561,2021-12-26,Films (English),2,The Unforgivable,,26600000,3
1562,2021-12-26,Films (English),3,Fast & Furious Presents: Hobbs & Shaw,,26590000,1
1563,2021-12-26,Films (English),4,Back to the Outback,,24750000,3
1564,2021-12-26,Films (English),5,Spider-Man: Homecoming,,20000000,2
1565,2021-12-26,Films (English),6,The Christmas Chronicles,,12910000,4
1566,2021-12-26,Films (English),7,Red Notice,,12140000,7
1567,2021-12-26,Films (English),8,A California Christmas: City Lights,,11630000,2
1568,2021-12-26,Films (English),9,The Christmas Chronicles: Part Two,,10990000,3
1569,2021-12-26,Films (English),10,A Boy Called Christmas,,9120000,5
1570,2021-12-26,Films (Non-English),1,Vicky and Her Mystery,,8150000,1
1571,2021-12-26,Films (Non-English),2,Grumpy Christmas,,8140000,1
1572,2021-12-26,Films (Non-English),3,1000 Miles from Christmas,,6940000,1
1573,2021-12-26,Films (Non-English),4,Minnal Murali,,5990000,1
1574,2021-12-26,Films (Non-English),5,STAND BY ME Doraemon 2,,2990000,1
1575,2021-12-26,Films (Non-English),6,The Whole Truth,,2970000,4
1576,2021-12-26,Films (Non-English),7,The Hand of God,,2940000,2
1577,2021-12-26,Films (Non-English),8,Anonymously Yours,,2800000,3
1578,2021-12-26,Films (Non-English),9,David and the Elves,,2450000,3
1579,2021-12-26,Films (Non-English),10,Sooryavanshi,,2390000,4
1600,2021-12-19,Films (English),1,The Unforgivable,,74440000,2
1601,2021-12-19,Films (English),2,Back to the Outback,,38990000,2
1602,2021-12-19,Films (English),3,A California Christmas: City Lights,,22860000,1
1603,2021-12-19,Films (English),4,Red Notice,,12710000,6
1604,2021-12-19,Films (English),5,The Shack,,11730000,1
1605,2021-12-19,Films (English),6,Spider-Man: Homecoming,,9370000,1
1606,2021-12-19,Films (English),7,John Wick: Chapter 3 - Parabellum,,8790000,1
1607,2021-12-19,Films (English),8,The Christmas Chronicles,,8430000,3
1608,2021-12-19,Films (English),9,The Christmas Chronicles: Part Two,,7840000,2
1609,2021-12-19,Films (English),10,A Boy Called Christmas,,7270000,4
1610,2021-12-19,Films (Non-English),1,Anonymously Yours,,12020000,2
1611,2021-12-19,Films (Non-English),2,The Hand of God,,7710000,1
1612,2021-12-19,Films (Non-English),3,Two,,6000000,2
1613,2021-12-19,Films (Non-English),4,The Whole Truth,,4640000,3
1614,2021-12-19,Films (Non-English),5,Sooryavanshi,,4000000,3
1615,2021-12-19,Films (Non-English),6,Bordertown: Mural Murders,,3540000,3
1616,2021-12-19,Films (Non-English),7,David and the Elves,,3360000,2
1617,2021-12-19,Films (Non-English),8,Spoiled Brats,,3350000,4
1618,2021-12-19,Films (Non-English),9,Escape From Mogadishu,,3260000,1
1619,2021-12-19,Films (Non-English),10,Green Snake,,2970000,3
1640,2021-12-12,Films (English),1,The Unforgivable,,85860000,1
1641,2021-12-12,Films (English),2,Red Notice,,18010000,5
1642,2021-12-12,Films (English),3,Back to the Outback,,16170000,1
1643,2021-12-12,Films (English),4,The Power of the Dog,,13280000,2
1644,2021-12-12,Films (English),5,Single All The Way,,11140000,2
1645,2021-12-12,Films (English),6,A Boy Called Christmas,,10750000,3
1646,2021-12-12,Films (English),7,A Castle For Christmas,,10050000,3
