,week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10
166,2022-08-28,Films (English),7,Running with the Devil: The Wild World of John McAfee,,10630000,1
167,2022-08-28,Films (English),8,Untold: The Girlfriend Who Didn't Exist,,10480000,2
168,2022-08-28,Films (English),9,That's Amor,,10470000,1
169,2022-08-28,Films (English),10,The Great Wall,,10090000,1
170,2022-08-28,Films (Non-English),1,Loving Adults,,17480000,1
171,2022-08-28,Films (Non-English),2,Royalteen,,10440000,2
172,2022-08-28,Films (Non-English),3,Fullmetal Alchemist The Revenge of Scar,,8310000,2
173,2022-08-28,Films (Non-English),4,Seoul Vibe,,7200000,1
174,2022-08-28,Films (Non-English),5,The Figo Affair: The Transfer that Changed Football,,3460000,1
175,2022-08-28,Films (Non-English),6,The Assistant,,3190000,1
176,2022-08-28,Films (Non-English),7,Blood Red Sky,,2930000,15
177,2022-08-28,Films (Non-English),8,Carter,,2890000,4
178,2022-08-28,Films (Non-English),9,Darlings,,2470000,4
179,2022-08-28,Films (Non-English),10,"Watch Out, We're Mad",,2400000,1
200,2022-08-21,Films (English),1,Day Shift,,63390000,2
201,2022-08-21,Films (English),2,Look Both Ways,,48060000,1
202,2022-08-21,Films (English),3,The Next 365 Days,,39310000,1
203,2022-08-21,Films (English),4,Purple Hearts,,23410000,4
204,2022-08-21,Films (English),5,Untold: The Girlfriend Who Didn't Exist,,20050000,1
205,2022-08-21,Films (English),6,The Gray Man,,14640000,5
206,2022-08-21,Films (English),7,The Angry Birds Movie 2,,11470000,1
207,2022-08-21,Films (English),8,Uncharted,,8660000,3
208,2022-08-21,Films (English),9,The Sea Beast,,8120000,7
209,2022-08-21,Films (English),10,Inside the Mind of a Cat,,6990000,1
210,2022-08-21,Films (Non-English),1,Royalteen,,11910000,1
211,2022-08-21,Films (Non-English),2,Code Name: Emperor,,10100000,2
212,2022-08-21,Films (Non-English),3,Carter,,7180000,3
213,2022-08-21,Films (Non-English),4,Fullmetal Alchemist The Revenge of Scar,,5820000,1
214,2022-08-21,Films (Non-English),5,Darlings,,5640000,3
215,2022-08-21,Films (Non-English),6,Blood Red Sky,,5180000,14
216,2022-08-21,Films (Non-English),7,Bank Robbers: The Last Great Heist,,4070000,2
217,2022-08-21,Films (Non-English),8,Shabaash Mithu (Hindi),,3750000,2
218,2022-08-21,Films (Non-English),9,Nikamma,,2880000,1
219,2022-08-21,Films (Non-English),10,RRR (Hindi),,2250000,14
240,2022-08-14,Films (English),1,Day Shift,,56510000,1
241,2022-08-14,Films (English),2,Purple Hearts,,46370000,3
242,2022-08-14,Films (English),3,Uncharted,,23710000,2
243,2022-08-14,Films (English),4,The Gray Man,,21160000,4
244,2022-08-14,Films (English),5,Wedding Season,,19010000,2
245,2022-08-14,Films (English),6,The Sea Beast,,10850000,6
246,2022-08-14,Films (English),7,1917,,10840000,1
247,2022-08-14,Films (English),8,Flight,,10710000,1
248,2022-08-14,Films (English),9,The Informer,,8330000,1
249,2022-08-14,Films (English),10,Sing 2,,7270000,8
250,2022-08-14,Films (Non-English),1,Carter,,26670000,2
251,2022-08-14,Films (Non-English),2,Darlings,,13960000,2
252,2022-08-14,Films (Non-English),3,Code Name: Emperor,,9710000,1
253,2022-08-14,Films (Non-English),4,Bank Robbers: The Last Great Heist,,6610000,1
254,2022-08-14,Films (Non-English),5,Don’t Blame Karma!,,5420000,2
255,2022-08-14,Films (Non-English),6,Blood Red Sky,,3540000,13
256,2022-08-14,Films (Non-English),7,Shabaash Mithu (Hindi),,3360000,1
257,2022-08-14,Films (Non-English),8,Recurrence,,2880000,3
258,2022-08-14,Films (Non-English),9,Heartsong,,2500000,1
259,2022-08-14,Films (Non-English),10,RRR (Hindi),,2320000,13
280,2022-08-07,Films (English),1,Purple Hearts,,102590000,2
281,2022-08-07,Films (English),2,The Gray Man,,38900000,3
282,2022-08-07,Films (English),3,Uncharted,,20650000,1
283,2022-08-07,Films (English),4,Wedding Season,,18600000,1
284,2022-08-07,Films (English),5,The Sea Beast,,14340000,5
285,2022-08-07,Films (English),6,Spider-Man: Far from Home,,11320000,2
286,2022-08-07,Films (English),7,The Age of Adaline,,9340000,1
287,2022-08-07,Films (English),8,Tower Heist,,8700000,1
288,2022-08-07,Films (English),9,Men in Black 3,,8680000,1
289,2022-08-07,Films (English),10,Sing 2,,7950000,7
290,2022-08-07,Films (Non-English),1,Carter,,27300000,1
291,2022-08-07,Films (Non-English),2,Don’t Blame Karma!,,12310000,1
292,2022-08-07,Films (Non-English),3,Recurrence,,11370000,2
293,2022-08-07,Films (Non-English),4,Darlings,,10210000,1
294,2022-08-07,Films (Non-English),5,The Entitled,,6460000,2
295,2022-08-07,Films (Non-English),6,Too Old for Fairy Tales,,4070000,3
296,2022-08-07,Films (Non-English),7,Buba,,3080000,1
297,2022-08-07,Films (Non-English),8,Blood Red Sky,,2590000,12
298,2022-08-07,Films (Non-English),9,RRR (Hindi),,2550000,12
299,2022-08-07,Films (Non-English),10,Incantation,,2430000,5
320,2022-07-31,Films (English),1,The Gray Man,,96470000,2
321,2022-07-31,Films (English),2,Purple Hearts,,48230000,1
322,2022-07-31,Films (English),3,The Sea Beast,,21070000,4
323,2022-07-31,Films (English),4,Persuasion,,11070000,3
324,2022-07-31,Films (English),5,Sing 2,,9370000,6
325,2022-07-31,Films (English),6,Spider-Man: Far from Home,,8300000,1
326,2022-07-31,Films (English),7,The Man from Toronto,,7620000,6
327,2022-07-31,Films (English),8,Shania Twain: Not Just a Girl,,4640000,1
328,2022-07-31,Films (English),9,Line of Duty,,4140000,1
329,2022-07-31,Films (English),10,Red Notice,,4090000,14
330,2022-07-31,Films (Non-English),1,Recurrence,,23160000,1
331,2022-07-31,Films (Non-English),2,Too Old for Fairy Tales,,11450000,2
332,2022-07-31,Films (Non-English),3,Incantation,,4120000,4
333,2022-07-31,Films (Non-English),4,Major Grom: Plague Doctor,,3680000,7
334,2022-07-31,Films (Non-English),5,The Entitled,,3220000,1
335,2022-07-31,Films (Non-English),6,A Cut Above,,2740000,1
336,2022-07-31,Films (Non-English),7,RRR (Hindi),,2670000,11
337,2022-07-31,Films (Non-English),8,Live is Life,,2360000,2
338,2022-07-31,Films (Non-English),9,Foot Fairy (Hindi),,2200000,1
339,2022-07-31,Films (Non-English),10,Dangerous Liaisons,,2150000,4
360,2022-07-24,Films (English),1,The Gray Man,,88550000,1
361,2022-07-24,Films (English),2,The Sea Beast,,34140000,3
362,2022-07-24,Films (English),3,Persuasion,,29040000,2
363,2022-07-24,Films (English),4,Clean,,11290000,1
364,2022-07-24,Films (English),5,Daughter of the Wolf,,11080000,1
365,2022-07-24,Films (English),6,Sing 2,,10150000,5
366,2022-07-24,Films (English),7,The Man from Toronto,,8790000,5
367,2022-07-24,Films (English),8,Girl in the Picture,,7360000,3
368,2022-07-24,Films (English),9,CHIPS,,5080000,2
369,2022-07-24,Films (English),10,12 Strong,,4610000,2
370,2022-07-24,Films (Non-English),1,Too Old for Fairy Tales,,10880000,1
371,2022-07-24,Films (Non-English),2,Live is Life,,7170000,1
372,2022-07-24,Films (Non-English),3,Incantation,,5750000,3
373,2022-07-24,Films (Non-English),4,Valley of the Dead,,5320000,2
374,2022-07-24,Films (Non-English),5,Dangerous Liaisons,,4760000,3
375,2022-07-24,Films (Non-English),6,Jaadugar,,4120000,2
376,2022-07-24,Films (Non-English),7,Under the Amalfi Sun,,3630000,2
377,2022-07-24,Films (Non-English),8,My Daughter’s Killer,,2820000,2
378,2022-07-24,Films (Non-English),9,RRR (Hindi),,2460000,10
379,2022-07-24,Films (Non-English),10,Vaashi (Malayalam),,2400000,1
400,2022-07-17,Films (English),1,The Sea Beast,,68110000,2
401,2022-07-17,Films (English),2,Persuasion,,28720000,1
402,2022-07-17,Films (English),3,Girl in the Picture,,23590000,2
403,2022-07-17,Films (English),4,The Man from Toronto,,13500000,4
404,2022-07-17,Films (English),5,Sing 2,,12220000,4
405,2022-07-17,Films (English),6,12 Strong,,11810000,1
406,2022-07-17,Films (English),7,Spider-Man: No Way Home,,8080000,1
407,2022-07-17,Films (English),8,CHIPS,,7480000,1
408,2022-07-17,Films (English),9,Hustle,,6450000,6
409,2022-07-17,Films (English),10,"Hello, Goodbye, and Everything in Between",,6170000,2
410,2022-07-17,Films (Non-English),1,Valley of the Dead,,17840000,1
411,2022-07-17,Films (Non-English),2,Dangerous Liaisons,,16230000,2
412,2022-07-17,Films (Non-English),3,Incantation,,10850000,2
413,2022-07-17,Films (Non-English),4,Under the Amalfi Sun,,6470000,1
414,2022-07-17,Films (Non-English),5,My Daughter’s Killer,,6420000,1
415,2022-07-17,Films (Non-English),6,Ante Sundaraniki,,3270000,1
